 area_type,availability,location,size,total_sqft,bath,balcony,price,bhk,total_sqft_numeric,price_per_sqft,sqft_per_bhk
Built-up  Area,Ready To Move,Shanthala Nagar,3 BHK,3290,4.0,2.0,460.0,3.0,3290.0,13981.76291793313,1096.6666666666667
Plot  Area,Ready To Move,Shanthi Layout,3 Bedroom,1280,3.0,0.0,87.0,3.0,1280.0,6796.875,426.6666666666667
Super built-up  Area,18-May,Shanti Nagar,3 BHK,1602,2.0,1.0,165.0,3.0,1602.0,10299.625468164793,534.0
Super built-up  Area,18-May,Shanti Nagar,3 BHK,1602,2.0,1.0,170.0,3.0,1602.0,10611.735330836455,534.0
Super built-up  Area,Ready To Move,Shanti Nagar,4 BHK,3000,4.0,2.0,240.0,4.0,3000.0,8000.0,750.0
Super built-up  Area,Ready To Move,Shanti Nagar,2 BHK,1130,2.0,2.0,74.0,2.0,1130.0,6548.672566371682,565.0
Built-up  Area,Ready To Move,Shanti Nagar,2 BHK,1130,2.0,1.0,75.0,2.0,1130.0,6637.168141592921,565.0
Super built-up  Area,Ready To Move,Shanti Nagar,3 BHK,2250,3.0,0.0,180.0,3.0,2250.0,8000.0,750.0
Plot  Area,Ready To Move,Shantiniketan Layout,2 Bedroom,1500,2.0,1.0,115.0,2.0,1500.0,7666.666666666667,750.0
Super built-up  Area,18-Apr,Shantiniketan Layout,3 BHK,2072,3.0,2.0,108.0,3.0,2072.0,5212.355212355213,690.6666666666666
Built-up  Area,Ready To Move,Shantiniketan Layout,2 BHK,925,2.0,2.0,48.0,2.0,925.0,5189.189189189189,462.5
Super built-up  Area,18-Jul,Shantiniketan Layout,4 BHK,2710,5.0,3.0,142.0,4.0,2710.0,5239.852398523985,677.5
Super built-up  Area,20-Apr,Shettigere,1 BHK,660,1.0,1.0,35.0,1.0,660.0,5303.030303030303,660.0
Plot  Area,Ready To Move,Shetty Halli,5 Bedroom,8000,5.0,3.0,550.0,5.0,8000.0,6875.0,1600.0
Super built-up  Area,Ready To Move,Shikaripalya,2 BHK,1121,2.0,1.0,43.72,2.0,1121.0,3900.0892060660126,560.5
Super built-up  Area,Ready To Move,Shikaripalya,3 BHK,1442,3.0,2.0,56.24,3.0,1442.0,3900.138696255201,480.6666666666667
Super built-up  Area,Ready To Move,Shikaripalya,3 BHK,1555,2.0,1.0,67.0,3.0,1555.0,4308.681672025724,518.3333333333334
Super built-up  Area,Ready To Move,Shikaripalya,3 BHK,1532,3.0,2.0,59.75,3.0,1532.0,3900.1305483028723,510.6666666666667
Super built-up  Area,Ready To Move,Shikaripalya,2 BHK,1025,2.0,1.0,39.98,2.0,1025.0,3900.4878048780483,512.5
Plot  Area,Ready To Move,Shingapura,1 Bedroom,1350,2.0,0.0,45.0,1.0,1350.0,3333.3333333333335,1350.0
Built-up  Area,Ready To Move,Shingapura,3 BHK,1255,2.0,1.0,60.0,3.0,1255.0,4780.876494023904,418.3333333333333
Plot  Area,Ready To Move,Shirdi Sai Layout,4 Bedroom,1200,3.0,2.0,95.0,4.0,1200.0,7916.666666666667,300.0
Built-up  Area,Ready To Move,Shivaji Nagar,2 BHK,850,2.0,2.0,55.0,2.0,850.0,6470.588235294118,425.0
Super built-up  Area,Ready To Move,Shivaji Nagar,2 BHK,1554,3.0,3.0,130.0,2.0,1554.0,8365.508365508365,777.0
Plot  Area,Ready To Move,Shivaji Nagar,1 Bedroom,3820,1.0,1.0,306.0,1.0,3820.0,8010.471204188481,3820.0
Super built-up  Area,Ready To Move,Shivaji Nagar,2 BHK,703,2.0,1.0,49.5,2.0,703.0,7041.251778093883,351.5
Super built-up  Area,Ready To Move,Shivaji Nagar,3 BHK,1460,2.0,1.0,90.0,3.0,1460.0,6164.3835616438355,486.6666666666667
Carpet  Area,Ready To Move,Shivaji Nagar,2 BHK,600,1.0,1.0,65.0,2.0,600.0,10833.333333333334,300.0
Super built-up  Area,Ready To Move,Shree Ananth Nagar Layout,2 BHK,2040,2.0,2.0,59.0,2.0,2040.0,2892.156862745098,1020.0
Super built-up  Area,Ready To Move,Shree Ananth Nagar Layout,3 BHK,1176,2.0,1.0,45.0,3.0,1176.0,3826.530612244898,392.0
Built-up  Area,Ready To Move,Shree Ananth Nagar Layout,2 BHK,1080,2.0,2.0,38.0,2.0,1080.0,3518.5185185185187,540.0
Plot  Area,Ready To Move,Siddapura,4 Bedroom,14000,3.0,2.0,800.0,4.0,14000.0,5714.285714285715,3500.0
Super built-up  Area,Ready To Move,Siddapura,2 BHK,1275,2.0,1.0,105.0,2.0,1275.0,8235.29411764706,637.5
Super built-up  Area,Ready To Move,Siddapura,2 BHK,1150,2.0,2.0,90.0,2.0,1150.0,7826.086956521739,575.0
Plot  Area,Ready To Move,Siddapura,3 Bedroom,5480,4.0,2.0,400.0,3.0,5480.0,7299.270072992701,1826.6666666666667
Built-up  Area,Ready To Move,Sidedahalli,2 BHK,900,2.0,0.0,27.0,2.0,900.0,3000.0,450.0
Built-up  Area,Ready To Move,Sidedahalli,1 Bedroom,900,1.0,1.0,52.3,1.0,900.0,5811.111111111111,900.0
Built-up  Area,Ready To Move,Sidedahalli,2 BHK,750,2.0,0.0,20.0,2.0,750.0,2666.6666666666665,375.0
Built-up  Area,Ready To Move,Sidedahalli,2 BHK,900,2.0,0.0,25.0,2.0,900.0,2777.777777777778,450.0
Plot  Area,Ready To Move,Sidedahalli,2 Bedroom,1200,1.0,0.0,50.0,2.0,1200.0,4166.666666666667,600.0
Built-up  Area,Ready To Move,Silk Board,3 BHK,1300,3.0,1.0,58.0,3.0,1300.0,4461.538461538462,433.3333333333333
Super built-up  Area,Ready To Move,Silk Board,3 BHK,1435,2.0,1.0,60.0,3.0,1435.0,4181.184668989547,478.3333333333333
Super built-up  Area,18-May,Silk Board,3 BHK,1250,3.0,2.0,54.0,3.0,1250.0,4320.0,416.6666666666667
Super built-up  Area,Ready To Move,Silver Springs Layout,2 BHK,1084,2.0,2.0,50.0,2.0,1084.0,4612.546125461255,542.0
Super built-up  Area,Ready To Move,Silver Springs Layout,3 BHK,1550,2.0,3.0,70.0,3.0,1550.0,4516.129032258064,516.6666666666666
Super built-up  Area,Ready To Move,Singanayakanahalli,3 BHK,1480,2.0,0.0,75.0,3.0,1480.0,5067.5675675675675,493.3333333333333
Super built-up  Area,Ready To Move,Singapura Village,2 BHK,825,2.0,1.0,35.0,2.0,825.0,4242.424242424242,412.5
Built-up  Area,Ready To Move,Singapura Village,2 BHK,985,2.0,1.0,45.0,2.0,985.0,4568.527918781726,492.5
Built-up  Area,Ready To Move,Singapura Village,2 BHK,970,2.0,0.0,45.0,2.0,970.0,4639.1752577319585,485.0
Built-up  Area,Ready To Move,Singasandra,3 BHK,1440,2.0,3.0,65.0,3.0,1440.0,4513.888888888889,480.0
Super built-up  Area,Ready To Move,Singasandra,2 BHK,1030,2.0,2.0,55.0,2.0,1030.0,5339.805825242718,515.0
Built-up  Area,Ready To Move,Singasandra,4 Bedroom,3850,6.0,3.0,195.0,4.0,3850.0,5064.935064935065,962.5
Super built-up  Area,Ready To Move,Singasandra,2 BHK,1100,2.0,1.0,52.0,2.0,1100.0,4727.272727272727,550.0
Super built-up  Area,Ready To Move,Singasandra,3 BHK,1306,2.0,2.0,58.0,3.0,1306.0,4441.04134762634,435.3333333333333
Super built-up  Area,Ready To Move,Singasandra,2 BHK,1300,2.0,2.0,65.0,2.0,1300.0,5000.0,650.0
Built-up  Area,Ready To Move,Singasandra,4 BHK,3126,4.0,2.0,120.0,4.0,3126.0,3838.7715930902114,781.5
Super built-up  Area,Ready To Move,Singasandra,3 BHK,1464,3.0,2.0,56.0,3.0,1464.0,3825.136612021858,488.0
Super built-up  Area,Ready To Move,Singasandra,2 BHK,1010,2.0,1.0,40.0,2.0,1010.0,3960.3960396039606,505.0
Built-up  Area,Ready To Move,Singasandra,2 BHK,1375,2.0,3.0,58.0,2.0,1375.0,4218.181818181818,687.5
Super built-up  Area,Ready To Move,Singasandra,2 BHK,1120,2.0,1.0,60.0,2.0,1120.0,5357.142857142857,560.0
Super built-up  Area,Ready To Move,Singasandra,3 BHK,1510,3.0,2.0,75.0,3.0,1510.0,4966.887417218543,503.3333333333333
Super built-up  Area,Ready To Move,Singasandra,2 BHK,1179,2.0,2.0,56.0,2.0,1179.0,4749.787955894826,589.5
Super built-up  Area,Ready To Move,Singasandra,2 BHK,1416,2.0,2.0,67.0,2.0,1416.0,4731.6384180790965,708.0
Super built-up  Area,Ready To Move,Singasandra,3 BHK,1476,2.0,1.0,73.0,3.0,1476.0,4945.79945799458,492.0
Super built-up  Area,Ready To Move,Singasandra,2 BHK,1139.7,2.0,1.0,45.0,2.0,1139.7,3948.407475651487,569.85
Super built-up  Area,Ready To Move,Singasandra,2 BHK,1465,2.0,3.0,60.0,2.0,1465.0,4095.563139931741,732.5
Super built-up  Area,Ready To Move,Singasandra,3 BHK,1464,3.0,2.0,56.0,3.0,1464.0,3825.136612021858,488.0
Super built-up  Area,Ready To Move,Singasandra,3 BHK,1653,3.0,2.0,85.0,3.0,1653.0,5142.165759225651,551.0
Plot  Area,Ready To Move,Singena Agrahara,3 Bedroom,1500,3.0,2.0,115.0,3.0,1500.0,7666.666666666667,500.0
Plot  Area,Ready To Move,Sneha Colony,2 Bedroom,1050,2.0,1.0,110.0,2.0,1050.0,10476.190476190477,525.0
Built-up  Area,Ready To Move,Somasundara Palya,2 BHK,1255,2.0,2.0,67.0,2.0,1255.0,5338.645418326693,627.5
Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,1448,2.0,2.0,68.0,2.0,1448.0,4696.132596685083,724.0
Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,1570,3.0,3.0,68.0,3.0,1570.0,4331.210191082802,523.3333333333334
Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,1178,2.0,3.0,73.0,2.0,1178.0,6196.9439728353145,589.0
Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,1260,2.0,1.0,60.0,2.0,1260.0,4761.9047619047615,630.0
Built-up  Area,Ready To Move,Somasundara Palya,2 BHK,1033,2.0,2.0,48.0,2.0,1033.0,4646.660212971927,516.5
Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,1329,2.0,2.0,70.0,2.0,1329.0,5267.11813393529,664.5
Built-up  Area,Ready To Move,Somasundara Palya,3 BHK,2372,3.0,2.0,140.0,3.0,2372.0,5902.192242833053,790.6666666666666
Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,1185,2.0,3.0,70.0,2.0,1185.0,5907.172995780591,592.5
Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,1575,3.0,3.0,68.0,3.0,1575.0,4317.460317460317,525.0
Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,1600,3.0,3.0,68.0,3.0,1600.0,4250.0,533.3333333333334
Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,1600,3.0,3.0,69.0,3.0,1600.0,4312.5,533.3333333333334
Built-up  Area,Ready To Move,Somasundara Palya,4 BHK,2400,3.0,3.0,140.0,4.0,2400.0,5833.333333333333,600.0
Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,1650,3.0,2.0,95.0,3.0,1650.0,5757.575757575758,550.0
Built-up  Area,Ready To Move,Somasundara Palya,2 BHK,1186,2.0,3.0,72.0,2.0,1186.0,6070.826306913997,593.0
Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,1600,3.0,3.0,69.0,3.0,1600.0,4312.5,533.3333333333334
Super built-up  Area,Ready To Move,Someshwara Layout,4 BHK,1200,4.0,3.0,169.0,4.0,1200.0,14083.333333333334,300.0
Super built-up  Area,Ready To Move,Sompura,2 BHK,825,2.0,1.0,33.0,2.0,825.0,4000.0,412.5
Built-up  Area,Ready To Move,Sompura,3 BHK,1025,2.0,0.0,37.0,3.0,1025.0,3609.756097560976,341.6666666666667
Super built-up  Area,Ready To Move,Sompura,2 BHK,1020,2.0,3.0,41.0,2.0,1020.0,4019.607843137255,510.0
Built-up  Area,Ready To Move,Sompura,2 BHK,1126,2.0,2.0,39.0,2.0,1126.0,3463.587921847247,563.0
Built-up  Area,Ready To Move,Sompura,2 BHK,825,2.0,1.0,32.0,2.0,825.0,3878.787878787879,412.5
Super built-up  Area,Ready To Move,Sompura,3 BHK,1360,2.0,3.0,45.0,3.0,1360.0,3308.823529411765,453.3333333333333
Super built-up  Area,Ready To Move,Sompura,3 BHK,1350,2.0,2.0,47.0,3.0,1350.0,3481.4814814814813,450.0
Super built-up  Area,Ready To Move,Sompura,4 BHK,2150,3.0,2.0,85.0,4.0,2150.0,3953.4883720930234,537.5
Super built-up  Area,Ready To Move,Sonnenahalli,3 BHK,1415,2.0,1.0,55.0,3.0,1415.0,3886.9257950530036,471.6666666666667
Built-up  Area,Ready To Move,Sonnenahalli,2 BHK,896,2.0,1.0,43.75,2.0,896.0,4882.8125,448.0
Super built-up  Area,Ready To Move,Sonnenahalli,2 BHK,1120,2.0,2.0,43.0,2.0,1120.0,3839.285714285714,560.0
Super built-up  Area,Ready To Move,Sonnenahalli,2 BHK,1100,2.0,1.0,44.0,2.0,1100.0,4000.0,550.0
Super built-up  Area,18-Dec,Sonnenahalli,2 BHK,1011,2.0,1.0,50.53,2.0,1011.0,4998.021760633037,505.5
Super built-up  Area,Ready To Move,Sonnenahalli,1 BHK,605 - 624,1.0,0.0,30.715,1.0,614.5,4998.372660699756,614.5
Super built-up  Area,18-Dec,Sonnenahalli,3 BHK,1484,3.0,1.0,74.18,3.0,1484.0,4998.652291105122,494.6666666666667
Super built-up  Area,18-Dec,Sonnenahalli,3 BHK,1610,3.0,2.0,80.48,3.0,1610.0,4998.757763975155,536.6666666666666
Super built-up  Area,Ready To Move,Sonnenahalli,3 BHK,1415,2.0,1.0,65.0,3.0,1415.0,4593.639575971732,471.6666666666667
Super built-up  Area,Ready To Move,Sonnenahalli,2 BHK,1268,2.0,1.0,58.0,2.0,1268.0,4574.132492113565,634.0
Super built-up  Area,Ready To Move,Sonnenahalli,2 BHK,1268,2.0,1.0,56.0,2.0,1268.0,4416.403785488959,634.0
Super built-up  Area,18-Dec,Sonnenahalli,1 BHK,605,1.0,1.0,30.24,1.0,605.0,4998.347107438017,605.0
Built-up  Area,Ready To Move,Sonnenahalli,3 BHK,1484,3.0,1.0,75.0,3.0,1484.0,5053.908355795148,494.6666666666667
Built-up  Area,Ready To Move,Soundarya Layout,2 BHK,960,2.0,2.0,32.0,2.0,960.0,3333.3333333333335,480.0
Built-up  Area,Ready To Move,Sri Balaji Krupa Layout,4 Bedroom,3200,4.0,0.0,270.0,4.0,3200.0,8437.5,800.0
Super built-up  Area,18-Apr,Sri Sai Layout,2 BHK,1195,2.0,2.0,42.4,2.0,1195.0,3548.1171548117154,597.5
Built-up  Area,Ready To Move,Sri Venkateshpura Layout,2 BHK,1050,2.0,1.0,49.5,2.0,1050.0,4714.285714285715,525.0
Plot  Area,Ready To Move,Srinagar,3 Bedroom,1080,3.0,2.0,149.0,3.0,1080.0,13796.296296296296,360.0
Super built-up  Area,Ready To Move,Srinivas Colony,3 BHK,2750,3.0,2.0,943.0,3.0,2750.0,34290.90909090909,916.6666666666666
Super built-up  Area,18-Dec,Srinivasa Nagar,3 BHK,1180,2.0,2.0,78.34,3.0,1180.0,6638.983050847458,393.3333333333333
Super built-up  Area,Ready To Move,Srinivasa Nagar,2 BHK,900,2.0,1.0,55.0,2.0,900.0,6111.111111111111,450.0
Built-up  Area,Ready To Move,Srinivasa Nagar,2 BHK,900,2.0,1.0,45.0,2.0,900.0,5000.0,450.0
Super built-up  Area,18-Dec,Srinivasa Nagar,3 BHK,1200,2.0,2.0,75.6,3.0,1200.0,6299.999999999999,400.0
Built-up  Area,Ready To Move,Srirampura,2 BHK,1230,2.0,3.0,55.0,2.0,1230.0,4471.544715447155,615.0
Super built-up  Area,Ready To Move,Srirampura,4 BHK,2736,4.0,2.0,130.0,4.0,2736.0,4751.461988304093,684.0
Super built-up  Area,Ready To Move,Srirampuram,3 BHK,1485,2.0,1.0,156.0,3.0,1485.0,10505.050505050505,495.0
Built-up  Area,Ready To Move,Srirampuram,3 BHK,1200,2.0,2.0,100.0,3.0,1200.0,8333.333333333334,400.0
Built-up  Area,Ready To Move,St. John's Road,2 BHK,824,2.0,0.0,60.0,2.0,824.0,7281.553398058252,412.0
Built-up  Area,Ready To Move,St. John's Road,4 BHK,4000,4.0,2.0,630.0,4.0,4000.0,15750.0,1000.0
Super built-up  Area,Ready To Move,Stage-4 Bommanahalli,3 BHK,1455,2.0,2.0,55.0,3.0,1455.0,3780.0687285223366,485.0
Built-up  Area,Ready To Move,Stage-4 Bommanahalli,3 BHK,1400,3.0,2.0,53.0,3.0,1400.0,3785.714285714286,466.6666666666667
Plot  Area,Ready To Move,Subash Nagar,2 Bedroom,900,2.0,0.0,55.0,2.0,900.0,6111.111111111111,450.0
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,929,2.0,0.0,50.17,2.0,929.0,5400.4305705059205,464.5
Built-up  Area,Ready To Move,Subramanyapura,2 BHK,1200,2.0,2.0,52.0,2.0,1200.0,4333.333333333333,600.0
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,975,2.0,1.0,58.0,2.0,975.0,5948.717948717948,487.5
Built-up  Area,Ready To Move,Subramanyapura,2 BHK,1277,2.0,2.0,55.0,2.0,1277.0,4306.969459671104,638.5
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,985,2.0,1.0,58.0,2.0,985.0,5888.324873096447,492.5
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,1245,2.0,1.0,68.0,3.0,1245.0,5461.847389558233,415.0
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,1313,2.0,2.0,73.0,2.0,1313.0,5559.786747905559,656.5
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,1313,2.0,2.0,66.5,2.0,1313.0,5064.737242955065,656.5
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,1255,2.0,2.0,79.0,3.0,1255.0,6294.820717131474,418.3333333333333
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,1330,3.0,2.0,72.0,3.0,1330.0,5413.533834586467,443.3333333333333
Built-up  Area,Ready To Move,Subramanyapura,2 BHK,929,2.0,1.0,48.0,2.0,929.0,5166.846071044133,464.5
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,950,2.0,1.0,55.0,2.0,950.0,5789.473684210527,475.0
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,929,2.0,1.0,56.0,2.0,929.0,6027.9870828848225,464.5
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,1800,3.0,2.0,90.0,3.0,1800.0,5000.0,600.0
Built-up  Area,Ready To Move,Subramanyapura,3 BHK,1260,2.0,2.0,76.0,3.0,1260.0,6031.746031746032,420.0
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,1278,2.0,2.0,59.0,3.0,1278.0,4616.588419405321,426.0
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,960,2.0,1.0,55.0,2.0,960.0,5729.166666666667,480.0
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,1260,2.0,1.0,73.0,3.0,1260.0,5793.650793650793,420.0
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,1278,3.0,2.0,62.71,3.0,1278.0,4906.885758998435,426.0
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,1278,3.0,2.0,70.0,3.0,1278.0,5477.308294209703,426.0
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,929,2.0,2.0,49.0,2.0,929.0,5274.48869752422,464.5
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,1260,2.0,1.0,75.0,3.0,1260.0,5952.380952380952,420.0
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,1000,2.0,1.0,45.0,2.0,1000.0,4500.0,500.0
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,2495,3.0,3.0,130.0,3.0,2495.0,5210.420841683367,831.6666666666666
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,929,1.0,2.0,51.0,2.0,929.0,5489.773950484392,464.5
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,1880,3.0,2.0,110.0,3.0,1880.0,5851.063829787234,626.6666666666666
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,1800,3.0,2.0,80.0,3.0,1800.0,4444.444444444444,600.0
Super built-up  Area,Ready To Move,Suddaguntepalya,3 BHK,1425,3.0,2.0,55.0,3.0,1425.0,3859.6491228070176,475.0
Super built-up  Area,Ready To Move,Suddaguntepalya,3 BHK,1400,2.0,2.0,56.0,3.0,1400.0,4000.0,466.6666666666667
Carpet  Area,Ready To Move,Sultan Palaya,3 BHK,1700,3.0,3.0,120.0,3.0,1700.0,7058.823529411765,566.6666666666666
Super built-up  Area,Ready To Move,Sultan Palaya,2 BHK,1100,2.0,1.0,45.0,2.0,1100.0,4090.909090909091,550.0
Built-up  Area,Ready To Move,Sultan Palaya,2 BHK,900,2.0,2.0,45.0,2.0,900.0,5000.0,450.0
Built-up  Area,Ready To Move,Sultan Palaya,2 BHK,870,2.0,1.0,65.0,2.0,870.0,7471.264367816092,435.0
Built-up  Area,Ready To Move,Sultan Palaya,3 BHK,1765,3.0,3.0,80.0,3.0,1765.0,4532.57790368272,588.3333333333334
Super built-up  Area,Ready To Move,Sultan Palaya,3 BHK,1713,3.0,3.0,125.0,3.0,1713.0,7297.139521307648,571.0
Super built-up  Area,Ready To Move,Sultan Palaya,2 BHK,1009,2.0,1.0,65.0,2.0,1009.0,6442.021803766105,504.5
Built-up  Area,Ready To Move,Sultan Palaya,4 Bedroom,5000,5.0,2.0,325.0,4.0,5000.0,6500.0,1250.0
Super built-up  Area,Ready To Move,Sultan Palaya,2 BHK,1070,2.0,2.0,49.0,2.0,1070.0,4579.439252336449,535.0
Plot  Area,Ready To Move,Sunkadakatte,4 Bedroom,2000,5.0,0.0,80.0,4.0,2000.0,4000.0,500.0
Built-up  Area,Ready To Move,Sunkadakatte,3 Bedroom,1200,3.0,1.0,68.0,3.0,1200.0,5666.666666666667,400.0
Plot  Area,Ready To Move,Sunkadakatte,1 Bedroom,600,1.0,0.0,24.0,1.0,600.0,4000.0,600.0
Super built-up  Area,Ready To Move,Surabhi Layout,3 BHK,1753,3.0,2.0,120.0,3.0,1753.0,6845.407872219053,584.3333333333334
Super built-up  Area,Ready To Move,Surabhi Layout,3 BHK,1750,3.0,1.0,120.0,3.0,1750.0,6857.142857142857,583.3333333333334
Built-up  Area,Ready To Move,Suraksha Nagar,3 BHK,1569,3.0,0.0,70.0,3.0,1569.0,4461.440407903123,523.0
Super built-up  Area,Ready To Move,Suraksha Nagar,3 BHK,1559,3.0,2.0,62.0,3.0,1559.0,3976.9082745349583,519.6666666666666
Super built-up  Area,Ready To Move,Suraksha Nagar,3 BHK,1563,3.0,2.0,63.0,3.0,1563.0,4030.7101727447216,521.0
Plot  Area,Ready To Move,Syndicate Bank Colony,4 Bedroom,1500,4.0,3.0,240.0,4.0,1500.0,16000.0,375.0
Plot  Area,Ready To Move,T Dasarahalli,3 Bedroom,1200,3.0,2.0,130.0,3.0,1200.0,10833.333333333334,400.0
Plot  Area,18-Mar,T.C PALYA,2 Bedroom,1230,2.0,0.0,75.0,2.0,1230.0,6097.5609756097565,615.0
Plot  Area,18-Jan,TC Palaya,3 Bedroom,1475,3.0,1.0,98.0,3.0,1475.0,6644.067796610169,491.6666666666667
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,1200,2.0,0.0,60.0,2.0,1200.0,5000.0,600.0
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,1200,2.0,0.0,66.0,3.0,1200.0,5500.0,400.0
Super built-up  Area,Ready To Move,TC Palaya,3 BHK,1600,2.0,2.0,65.0,3.0,1600.0,4062.5,533.3333333333334
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,1200,3.0,0.0,66.0,3.0,1200.0,5500.0,400.0
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,1350,2.0,1.0,75.0,3.0,1350.0,5555.555555555556,450.0
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,1240,2.0,1.0,60.0,2.0,1240.0,4838.709677419355,620.0
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,1500,2.0,1.0,100.0,3.0,1500.0,6666.666666666667,500.0
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,1200,2.0,0.0,65.0,2.0,1200.0,5416.666666666667,600.0
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,1200,2.0,0.0,70.0,2.0,1200.0,5833.333333333333,600.0
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,900,2.0,0.0,55.0,2.0,900.0,6111.111111111111,450.0
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,1200,2.0,0.0,66.0,3.0,1200.0,5500.0,400.0
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,1200,2.0,0.0,66.5,3.0,1200.0,5541.666666666667,400.0
Plot  Area,Ready To Move,TC Palaya,4 Bedroom,4800,3.0,3.0,302.0,4.0,4800.0,6291.666666666667,1200.0
Built-up  Area,Ready To Move,TC Palaya,2 Bedroom,1000,2.0,0.0,64.0,2.0,1000.0,6400.0,500.0
Built-up  Area,Ready To Move,TC Palaya,3 BHK,1100,3.0,1.0,50.0,3.0,1100.0,4545.454545454545,366.6666666666667
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,900,2.0,0.0,55.0,2.0,900.0,6111.111111111111,450.0
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,1200,2.0,0.0,66.0,2.0,1200.0,5500.0,600.0
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,1200,2.0,0.0,66.0,3.0,1200.0,5500.0,400.0
Super built-up  Area,18-May,TC Palaya,3 BHK,1200,2.0,0.0,66.5,3.0,1200.0,5541.666666666667,400.0
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,900,2.0,0.0,55.0,2.0,900.0,6111.111111111111,450.0
Plot  Area,18-May,TC Palaya,3 Bedroom,1200,2.0,0.0,66.0,3.0,1200.0,5500.0,400.0
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,900,2.0,0.0,55.0,2.0,900.0,6111.111111111111,450.0
Plot  Area,18-May,TC Palaya,3 Bedroom,1500,3.0,0.0,83.0,3.0,1500.0,5533.333333333333,500.0
Built-up  Area,Ready To Move,TC Palaya,3 Bedroom,1350,3.0,1.0,60.0,3.0,1350.0,4444.444444444444,450.0
Built-up  Area,Ready To Move,TC Palaya,2 Bedroom,1200,2.0,0.0,65.0,2.0,1200.0,5416.666666666667,600.0
Super built-up  Area,Ready To Move,TC Palaya,2 BHK,1500,2.0,0.0,75.0,2.0,1500.0,5000.0,750.0
Super built-up  Area,18-Apr,TC Palaya,3 BHK,1200,2.0,0.0,66.0,3.0,1200.0,5500.0,400.0
Built-up  Area,Ready To Move,TC Palaya,2 Bedroom,1000,2.0,0.0,70.0,2.0,1000.0,7000.0,500.0
Built-up  Area,Ready To Move,TC Palaya,2 Bedroom,1100,2.0,0.0,65.0,2.0,1100.0,5909.090909090909,550.0
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,1200,3.0,0.0,66.0,3.0,1200.0,5500.0,400.0
Plot  Area,18-May,TC Palaya,3 Bedroom,1200,2.0,0.0,66.0,3.0,1200.0,5500.0,400.0
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,1200,2.0,0.0,66.0,3.0,1200.0,5500.0,400.0
Built-up  Area,Ready To Move,TC Palaya,2 BHK,1800,2.0,2.0,80.0,2.0,1800.0,4444.444444444444,900.0
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,1200,2.0,0.0,66.0,3.0,1200.0,5500.0,400.0
